PRODUCTO,PRECIO_1_5,PRECIO_6_10,PRECIO_11_15,PRECIO_16_MAS
CLOUD SKINNY JUVENIL,245,235,225,215
CLOUD BOTA JUVENIL,245,235,225,215
CLOUD BOTA PLUS,245,235,225,
KOKO PREMIUM SKINNY JUVENIL,245,235,225,215
CLOUD BOTA ESPECIALES,245,235,225,
CLOUD SKINNY PLUS,245,235,225,215
KOKO COLLECTION SKINNY,209,199,189,179
KOKO COLLECTION BOTA/FLARE,215,205,195,
KOKO BOTA PLUS,245,235,225,
KOKO COLLECTION WIDE LEG,235,225,215,
COLOMBIANO ESPECIAL,245,235,225,
KOKO SKINNY PLUS,245,235,225,215
CLOUD MEN,245,235,225,215
KOKO MEN,245,235,225,215
COLOMBIANO JUVENIL,245,235,225,215
